Date,BITW100
Sat Mar 10 2018 00:00:00 GMT+0000,15981.27
Sun Mar 11 2018 00:00:00 GMT+0000,15026.4
Mon Mar 12 2018 00:00:00 GMT+0000,16148.74
Tue Mar 13 2018 00:00:00 GMT+0000,15407.61
Wed Mar 14 2018 00:00:00 GMT+0000,15400.88
Thu Mar 15 2018 00:00:00 GMT+0000,13729.52
Fri Mar 16 2018 00:00:00 GMT+0000,13690.2
Sat Mar 17 2018 00:00:00 GMT+0000,13611.88
Sun Mar 18 2018 00:00:00 GMT+0000,12705.92
Mon Mar 19 2018 00:00:00 GMT+0000,13182.41
Tue Mar 20 2018 00:00:00 GMT+0000,13879.19
Wed Mar 21 2018 00:00:00 GMT+0000,14262.12
Thu Mar 22 2018 00:00:00 GMT+0000,14176.5
Fri Mar 23 2018 00:00:00 GMT+0000,13774.63
Sat Mar 24 2018 00:00:00 GMT+0000,13901.39
Sun Mar 25 2018 00:00:00 GMT+0000,13473.3
Mon Mar 26 2018 00:00:00 GMT+0000,13406.59
Tue Mar 27 2018 00:00:00 GMT+0000,12716.47
Wed Mar 28 2018 00:00:00 GMT+0000,12046.43
Thu Mar 29 2018 00:00:00 GMT+0000,12192.79
Fri Mar 30 2018 00:00:00 GMT+0000,10793.4
Sat Mar 31 2018 00:00:00 GMT+0000,10596.75
Sun Apr 01 2018 00:00:00 GMT+0000,10673.45
Mon Apr 02 2018 00:00:00 GMT+0000,10301.16
Tue Apr 03 2018 00:00:00 GMT+0000,10687.39
Wed Apr 04 2018 00:00:00 GMT+0000,11419.65
Thu Apr 05 2018 00:00:00 GMT+0000,10399.92
Fri Apr 06 2018 00:00:00 GMT+0000,10401.18
Sat Apr 07 2018 00:00:00 GMT+0000,10056.22
Sun Apr 08 2018 00:00:00 GMT+0000,10458.46
Mon Apr 09 2018 00:00:00 GMT+0000,10720.87
Tue Apr 10 2018 00:00:00 GMT+0000,10465.08
Wed Apr 11 2018 00:00:00 GMT+0000,10612.66
Thu Apr 12 2018 00:00:00 GMT+0000,11063.44
